# English Bi-gram Next-Word Dataset (Antecedent -> Predicted Next Words)
a	list,new,sentence,given,great
calling	for,the,out,me,to
callisthenics	refer,is
callous	overseer,way
calloused	hands,and
calls	for,to,on,from,are
calm	and,the,down,in,waters
calmed	down,and,in
calmer	and,pace,happier,life
calming	and,music,atmosphere,effect,the
calmly	and,as,drifting,said,take
calmness	of,and,evermore,which,wash
calms	my,you,us
caloric	intake,content,expenditure,restriction
calorie	diet,count,intake,tracking,counting
calories	from,and,per,in,burned
calorimeter	is
calpurnia	arthur,as
calve	and
calvin	and,klein,cycle,coolidge
calvinism	and,is,include
cam	free,sex,chat,live,girls
camaraderie	and,as,from,between,that
camaras	digitales
camargo	e
cambodia	and,became,china,laos,cameroon
cambridge	and,united,university
camcorder	battery,batteries,is,with
camcorders	and
camden	town,benedict
came	to,across,out,from,up
camel	toe,toes,case,elephant,the
camel's	back,fur
camelcase	format,to
camellia	sinensis
camels	lizards,have
cameltoe	teen
camera	and,with,for,is,from
camera's	sensor,specs,capabilities
cameras	and,at,are,to,for
cameron	diaz,and,urged,is,uses
cameroon	cape,d'ivoire,central,ghana,canada
camila	castro
camino	real
camouflage	itself,caterpillar,furniture,plaster,with
camp	and,for,in,is,at
campaign	for,to,and,is,that
campaign's	lifespan,slogan
campaigned	for
campaigning	for,more,of,methods
campaigns	and,to,that,in,for
campania	uprising
campbell	and,of
campbell's	soup
camper	at,but
campfire	and,is,roasting,stories,sharing
campgrounds	and
camping	trip,in,and,gear,equipment
camps	and,for,in,are,to
campsite	area,in,had
campus	and,of,in,is,or
campuses	and,in,associated,to,safer
camry	wow,yea,smooth
cams	free,and,live
can	be,help,also,you,i
can't	wait,believe,find,do,see
canada	is,and,has,to,in
canada's	current,establishment,population,landscape,healthcare
canadian	pharmacy,dollars,dollar,and,pharmacies
canadians	and,are,to,have,in
canal	and,is,in,which,connected
canals	and,to,while
canarias	estrecho
canary	mustardy,mustard
canberra	and,india,australia
cancel	a,anytime,the,your,or
canceled	out,a
canceling	the,headphones,our
cancellation	of,policies,policy,fee,or
cancelled	or,and,due,by,the
cancelling	headphones,public,orders,features,subscriptions
cancer	and,is,in,of,patients
cancerous	growth
cancers	and,in,of,are,as
canciones	de
cancun	hotels,mexico,offers
candace	owens
candid	advice,traveler,upskirt,moment
candida	albicans,histoplasma
candidacy	for,further
candidate	for,must,should,will,is
candidate's	qualifications,performance,answers,skills,background
candidates	for,are,who,must,should
candies	available,determine,each
candle	holders,holder,on,and,in
candlelight	gives,dinner
candlelit	room,lounge,music,dinner
candles	and,are,in,or,essential
candor	is
candy	and,shop,bars,bar,tastes
cane	and,or,shuffled,to,down
canine	companion,is,reclined,vaulted,and
canines	and,are,premolars,which
canis	familiaris,lupus,majoris
canned	food,tomatoes,goods,pumpkin,beans
cannes	film,france
cannot	be,do,complete,afford,fly
canoe	and,watching
canoeing	kayaking,down,and
canola	oil
canon	eos,and,digital,powershot,of
canonical	representation
canopy	of,above,and,the,in
cans	of,and,can,plastic,tomato
canva	is,which
canvas	and,prints,of,id,for
canyon	and,is,national,in,are
canyons	and,limestone,valleys
cap	and,is,on,of,for
capabilities	and,of,to,for,in
capability	to,of,and,is,for
capable	of,and,browser,to,as
capacities	and,of,for,to,in
capacitor	is,can,just,store,stores
capacitors	to,are,and
capacity	to,for,and,of,building
cape	town,to,of,and,cod
capers	and
capita	income,consumption,in,of,are
capital	of,and,city,gains,in
capitalisation	in
capitalise	on,each,any
capitalism	is,and,are,creates,encourages
capitalist	system,economy,approach,market,setting
capitalists	angel,invest,put
capitalization	of,and,more,has,errors
capitalize	on,the,all,with
capitalized	on,words,letters,word,sentences
capitalizes	on,the
capitalizing	on
capitals	in,of,are,alphabetically
capitol	building,that,reef,in,dome
capone	an,was
capped	at,by,player,mountain
capping	camouflage,trees
cappuccino	coffee
caprese	salad,italy
capricious	arbitrate,conform,and,answer
caps	and,are,on,for,to
capsule	or,which
captain	of,and,in,stabbin,america
captains	of
captcha	tests,to
caption	that,for,of,to,at
captioning	and,text
captions	and,to,dialogues,graphics,for
captivate	the,readers,anyone,me,you
captivated	by,audiences,the,my,sarah
captivates	my,the
captivating	and,visuals,story,sight,manner
captive	by,in
captivity	takes,as,are,and
capture	the,and,a,of,your
captured	by,in,and,the,a
captures	the,a,your,all,its
capturing	the,and,a,images,pieces
capuchin	monkey
capuchins	are
capulet	household,meet,are,as
capybara	is,paca,anteater,anaconda
car	is,and,for,in,rental
car's	engine,performance,interior,systems,features
caramel	syrup,and,would,sprinkles,apples
caramelized	onion,indulgent,onions,about
carat	cut,gold
carb	diet,recipes,diets,vegetables,fruits
carbohydrate	diet,compound,intake,fats,or
carbohydrates	and,are,proteins,such,like
carbon	dioxide,emissions,footprint,monoxide,and
carbonara	immediately,start,which,with
carbonate	ions,minerals,to
carbonated	soft,water
carbonic	acid
carboxylic	acid
carbs	at,and,or,as,proteins
carcinoma	of,in
card	and,is,for,from,or
cardamom	and,pods,turmeric,on,ginger
cardboard	boxes,box,to,aluminum,leaves
cardholder	and,is
cardholder's	name,spending,normal
cardiac	arrest,output,surgery,arrhythmias,disease
cardigan	can,or
cardinal	directions,skies,mourning,richelieu,north
cardinals	have,and,are,brown
cardio	and,exercises,interval,like,exercise
cardiovascular	health,disease,diseases,system,and
cards	and,are,from,to,in
care	of,and,for,to,in
cared	for,about,to
careened	past,carelessly
career	in,opportunities,and,paths,education
careers	in,and,at,of,with
carefree	and,days,soul,abandon,spirit
careful	planning,consideration,with,not,when
carefully	and,to,before,considered,crafted
caregivers	and,would,when,who
careless	and,driver,use,office,is
carelessly	and,down
carers	and
cares	about,for,if,to,what
caress	my
caressing	the,him
caretaker	is,mr
cargo	and,space,of,come,is
caribbean	and,poker,stud,sea,island
caribou	reindeer,and
caricature	of,implies
caring	for,and,about,heart,person
carisoprodol	online
carl	and,lee,jung,sandburg,black
carla	potter
carlo	simulation,simulations,method,verdone,gallucci
carlos	rubbia,november
carly	rae
carmel	and
carmen	electra,are,was
carnaval	celebration,and,is
carne	dish,with,and
carnival	of,cruise,rides,ride,is
carnivals	and
carnivora	family,ursidae,the
carnivore	or,herbivore,and,diet,alive
carnivores	herbivores,have,while,they,and
carnivorous	plant,dinosaur,plants,fish,birds
carol	and,dweck,that,danvers,is
carolina	and,at,north,is,schools
carols	echo,and,i,as
carotene	fiber,vitamin
carotid	artery
carousel	and,featuring,is,complete,of
carpal	tunnel
carpe	diem
carpenter	would,he,created,built,has
carpet	and,cleaning,in,of,cleaner
carpeting	unstable,insulation
carpets	and,three,paint,of
carplay	and
carpool	when,or,instead,and,system
carpooling	and,or,eating,using,biking
carpools	buses,walk
carraway	the,daisy's,in,is
carriage	of,return,charges,and,on
carrie	underwood,fisher,rode,pedaled,and
carried	out,the,a,away,on
carrier	and,to,of,within,is
carriers	and,to,are,of,in
carries	the,a,with,out,on
carroll	and,which,lewis,have,challenges
carrot	and,cake,apple,broccoli,soup
carrot's	umbrella,quick
carrots	and,celery,potatoes,are,onions
carry	out,on,a,the,in
carrying	out,case,a,the,on
cars	and,are,in,for,at
carson	levine,city
cart	and,is,or,button,software
carta	ao,was,is,in,date
carte	postale
carter	and,ronald
cartesian	coordinates,plane
carton	of,and,sacrifices
cartoon	character,porn,sex,characters,gay
cartoonish	graphics,and
cartoons	or,by,and,free,funny
cartoonstock	cartoons
cartridge	for,is,and,refill
cartridges	and,for,are
carts	and,also,are,due
carve	out,paths,a,wood,the
carved	out,into,in,from,wooden
carving	out,contest,and,or,her
carvings	and,on,were,inlaid,airbrushing
cas	de,a
casa	de,del,buenavista,batll,batllo
casablanca	avengers,follows,and
cascade	of,that,universe,and,will
cascades	national,down,that,over
cascading	style,down,stylesheet,from,water
case	of,for,study,is,studies
cases	of,in,and,for,from
cash	flow,and,or,on,flows
cashback	programs,rewards
cashew	milk,cheese,cheesecake,chicken,cream
cashews	and,pistachios,with,dates
cashier	checks,in,a
cashiers	check,cheque,checks
cashing	in
cashless	payment,payments,society
casing	of,filled,and
casino	and,games,in,is,gambling
casinos	and,online,in,free,on
caspian	sea
cassandra	and,is,connors,also
casserole	dish,for
casseroles	made,as
cassette	tape,player,tapes
cassie	was,maddox,who
cassowaries	and,use
cassowary	bird,is
cast	of,and,iron,your,a
caste	systems,system
casted	long,a
casting	a,and,done,of,an
castle	and,in,of,was,with
castle's	walls,ancient,forgotten,rich
castles	and,of,or,flying,making
castro	becoming,overthrew
casts	a,its,as,down,shadows
casual	and,to,dining,wear,sex
casualties	in,and,on,or,physical
casualty	insurance,count
cat	and,in,is,was,on
cat's	fur,out,nose,appearance,name
catabolism	and,breaks
catacombs	of,outside
catalan	art,finnish,cuisine
catalist	email
catalog	of,and,for,on,reference
catalogs	and,by,for,checkout,designing
catalogue	of,for,number,and,is
catalogues	and
catalyst	for,to,that
catalysts	for,in
catalytic	activity,converter,domain,subunit,properties
catalyze	biochemical,one,the,further
catalyzed	by,a
catalyzes	the,a
catapult	and,requires,while,allowing
cataract	surgery
cataracts	glaucoma,are
catastrophe	theory,of
catastrophic	consequences,events,effects,damage,leading
catch	up,a,the,and,it
catcher	in,home,for
catches	the,up,for,my,on
catching	up,the,a,on,and
catchment	area,systems
catchphrase	associated,for,to,of
catchy	slogan,headline,title,and,phrase
catechism	of
categorical	data,or,imperative,feature,and
categories	of,and,for,in,such
categorise	the,this,it
categorised	list,as,jobs
categorization	of,scheme,information,model,spam
categorize	the,this,a,each,these
categorized	as,into,by,in,according
categorizing	and,it,customer,images,transactions
category	of,or,in,for,and
cater	to,for,teaching,its
catered	for,to,lunch
caterina	in
catering	and,to,holiday,services,accommodation
caterpillar	into,transforms,grows,emerges,eating
caterpillars	have,use,are,undergo,inhabit
caters	to,for,the
catfish	cubes,is,belongs,and,meal
cathedral	and,in,of,then,which
catherine	bell,of,middleton,helps
catholic	church,and,school,faith,priest
catholics	and,in,recognize,more,also
cathy	visited,was,the
cation	of
cats	and,are,in,have,can
cattle	and,in,are,were,farming
catville	were,had,cat
caught	in,by,up,the,a
cauldron	filled,from
caulfield	a,as,is,his,to
caulfield's	journey,cynical,experiences,funny
cauliflower	with,rice,kale,snow,cabbage
causal	relationship,relationships,factor,explanation,argument
causality	which,states
causative	verb,relationship
cause	of,and,a,the,you
caused	by,a,the,an,you
causes	of,and,the,for,a
causeway	is,to,in
causing	the,a,an,them,it
caustic	sharp,response
caution	when,and,in,is,to
cautionary	tale,perspective,phrase
cautioned	that,his
cautions	people,against
cautious	about,and,in,when,that
cautiously	approached,stepped,picked,made,moved
cavalry	and
cave	and,in,of,was,the
caves	and,include,with
cavities	and,as,are,is
cavity	and
cayenne	pepper,cardamom
cayman	dicke,islands
cbt	is,technique,was,were
cc	lc,fields
cctv	systems,cameras
cd	key,rom,player,database,is
cdc	in,reports,advises,provides
cdcd	efef
cdn	stores,servers,networks
cdns	cache,use
cds	and,for,at,are,by
ce	que,qui,site,compte,the
cea	count
cease	to,and,no,the
ceased	to,and
ceaseless	waltz,miracle
ceaselessly	without,but,until
ceases	to
ceasing	to,in
ceci	est
cecil	st,served
cedar	rapids,tree,douglas
ceiling	and,fan,of,fans,on
ceilings	and,are
celcius	to
celeb	sex,porn,pics,oops
celebrate	the,your,a,with,and
celebrated	in,the,as,with,by
celebrates	the,its,nature,your,my
celebrating	the,a,their,its,nature
celebration	of,for,in,and,with
celebrations	of,in,and,or,last
celebratory	jubilant,phrase,events,event
celebrities	and,in,upskirt,nude,free
celebrity	oops,sex,photos,pictures,nude
celebs	nude
celery	and,onions,potatoes,sticks,chopped
celestial	bodies,body,objects,sphere,dragon
celexa	and
celiac	disease
celie	an,endures,on
celine	dion
cell	phones,phone,and,division,is
cell's	membrane,ph,genetic,chromosomes,dna
cellphone	accessories,use,computer,charger
cellphones	off,and,or
cells	and,in,were,are,to
cellular	phone,and,phones,level,telephone
cellulose	mineral,is,fibers,and,which
celsius	to,is,temperature,and,at
celtic	music,and
celtics	win,winning,chicago
cement	and,is,that
cementing	materials,memories
cemetery	in,and,is,ridge,visitors
censor	some,profanity,sensitive
censors	content
censorship	and,of,laws,propaganda,increasing
census	of,data,and,records,tract
cent	of,in,to,and,for
centauri	located,b,barnard's,star,and
center	of,for,and,in,is
centered	around,on,at,in,and
centering	on,herself
centerline	of
centerpiece	of,for,tablecloth,can
centers	for,and,in,of,around
centimeters	is,to,of,long,tall
centimetres	to,is
centipede	had
central	and,government,to,heating,authority
centralised	government,ledger,hub
centrality	of
centralized	system,repository,government,authority,database
centrally	located,and
centre	of,for,and,in,is
centred	around,on
centres	and,in,of,are,for
centric	qualities,strategies
centrifugal	force,forces
centrifuge	that,where
centripetal	force,and,forces
centro	de,cultural
centroid	of,by
centroids	then,to,don't
centromeres	in,divide
cents	per,a,to,each,for
centuries	of,and,to,in,ago
century	and,of,by,the,is
ceo	of,should,and,to,appointed
ceos	and,of,choose,must
ceramic	tile,tiles,tower,shield,is
ceramics	and,by
cereal	for,with,is,eggs,milk
cereals	and,ready,granola
cerebellum	and,is
cerebral	palsy,cortex,blood
cerebrospinal	fluid
cerebrum	is,brainstem,the
ceremonies	and,highly,is,for,are
ceremony	of,was,and,at,for
certain	types,amount,number,conditions,areas
certainly	not,the,be,a,do
certainty	that,of,and,or,both
certificate	of,in,for,to,and
certificates	of,and,are,for,to
certification	of,and,in,for,is
certifications	and,for,or,to,awards
certified	in,by,sites,as,rating
certifies	that
certify	that,the,to
certifying	that,the
cervantes	wilkins,with
cervical	cancer,spine
cessation	of
cet	article
cetacea	which,and
cetartiodactyla	which,and,because
cette	page
cfl	bulbs,lightbulbs,lights,light
cfls	are,and
cftr	gene
cgi	technology,have,visuals
chacma	baboon,baboons
chad	comoros,chile
chai	tea
chain	of,and,management,reaction,is
chained	to
chains	and,of,are,to,in
chair	of,and,is,with,for
chaired	by,the
chairing	the
chairman	of,and,ceo,chief,richard
chairmanship	of
chairperson	of
chairs	and,of,in,are,to
chakra	or,also
chalice	of
chalk	powder,glue,from,paint,is
chalkboard	desks,books
challenge	and,of,to,for,is
challenged	to,the,by,and,in
challenger	joe,disaster,space,and
challenges	and,of,in,for,that
challenging	the,and,task,for,to
chamber	of,and,music,is,in
chambers	of,and,that,such,only
chambray	shirt,will
chameleon	as,is,has,in
champagne	and,cuttin,would,or
champaign	utah
champion	of,and,in,garry,lewis
championed	the,policies,for,by,causes
championing	initiatives,sustainable,the
champions	of,in,league,and
championship	in,and,game,golf,for
championships	in,and,has,with,making
champs	elysees,in,over
chance	to,of,and,at,for
chancellor	of,for,and,angela,has
chancellorsville	is,was,virginia
chances	of,are,to,for,and
chandelier	and,ablaze,by
chandeliers	walls,hanging
chanel	gucci,karl
chang	and,is
change	the,is,in,and,on
changed	the,to,in,over,by
changes	in,to,and,the,that
changing	the,its,a,your,environment
channel	and,to,is,for,as
channels	to,and,for,in,of
chaos	and,in,of,theory,is
chaotic	and,world,noise,systems,nature
chapel	of,in,ceiling,and,kitchen
chapman	and,at
chapter	of,in,and,is,on
chapters	in,and,of,on,are
char	in,const,c,buf,not
character	of,in,is,and,from
character's	journey,actions,physical,behaviour,father
characterisation	of
characterise	the
characterised	by,as
characteristic	of,that,is,such,long
characteristically	low,leaves
characteristics	of,and,that,such,to
characterization	of,and,involves,in,to
characterize	the,north,spanish,a
characterized	by,as,the,in
characterizes	the,a,high
characterizing	the
characters	in,and,are,from,of
charades	or,and,can,magic,competition
charcoal	and,or,white,gray,instead
chardonnay	from,is
charge	of,for,and,any,on
chargeable	to
charged	with,particles,and,for,by
charger	for,is,and,with,bug
chargers	and,is,when,for
charges	for,and,against,of,to
charging	and,for,the,a,station
charing	cross
charisma	and,good
charismatic	figures,professor,characters,and,classmate
charitable	organization,organizations,and,giving,remainder
charities	and,or,for,finding,organize
