# Bengali Bi-gram Next-Word Dataset (Antecedent -> Predicted Next Words)
অ	রিলেশনাল,বিভাগীয়,বিষাক্ত,চৌম্বকীয়,আ
গুরমেট	খাবার,চকলেট,ইনস্টিটিউটে,টিকটিকি,ট্রিট
গুরু	পদ্মসম্ভবাকে,দক্ষিণা,দন্ড,নানকের,নানক
গুরুতর	পরিণতি,অপরাধ,অসুস্থতা,আঘাত,এবং
গুরুতরতা	এবং
গুরুতরভাবে	বিপন্ন,আহত,ক্ষতিগ্রস্থ,আপস,প্রভাবিত
গুরুত্ত্ব	দিয়েছিলেন,দেয়
গুরুত্ব	সম্পর্কে,এবং,সহকারে,ব্যাখ্যা,নিয়ে
গুরুত্বও	গড়ে,প্রতিষ্ঠা,বাড়িয়েছে
গুরুত্বকে	ওজন,সমর্থন,অতিরিক্ত,অত্যধিক,বাড়াবাড়ি
গুরুত্বকেও	আলোকিত,জোর
গুরুত্বপূর্ণ	ভূমিকা,যে,কারণ,তা,উপাদান
গুরুত্বপূর্ণ৷	এর,এটি,নিশ্চিত,উদাহরণস্বরূপ,এতে
গুরুত্বহীন	বোধ,নয়,বা,মনে
গুরুত্বারোপ	করে,আওয়ামী
গুরুত্বে	অতিক্রম,বিশ্বাস,তাদের
গুরুত্বের	উপর,সাথে,কারণে,কথা,ওপর
গুরুমণ্ডল	ভেদ,থেকে,ও,থেকেও,এবং
গুরুমণ্ডলকে	একসাথে,পৃথক
গুরুমণ্ডলের	কঠিন,ক্রিস্টাল,নিচে,উপাদানের
গুরুমস্তিষ্ক	মানব,যোজক
গুর্জর	রাজা,এবং
গুল	মোহাম্মদ,মোহাম্মাদ,হাসান,দেত্তয়া,বা
গুলজারীলাল	নন্দ
গুলাবি	গোলাপী,ইরুলি
গুলি	করা,করে,চালানো,চালানোর,চালায়
গুলিকে	সাধারণত,পরিমাপযোগ্য,ডেটার,ওয়াটার,নষ্ট
গুলিতে	পড়ানো,যখন,নিহত,উচ্চ,নিজেই
গুলিবারুদ	ভরা
গুলিবিদ্ধ	হয়ে,হয়,হয়েছিল,হন
গুলির	মধ্যে,শব্দ,একটি,ভারসাম্য,প্রতিটি
গুলিয়ে	ফেলা,দেত্তয়া,যাবে,খাওয়া,ফেলে
গুলো	হল,সাধারণত,হলো,শুধু,প্রলেপ
গুলোও	বিলুপ্ত,জালিয়াতি
গুলোকে	স্টোর,একই,বাতিল,উড্ডয়ন,রিপ্লেস
গুলোতে	ফুটে,মেয়ে,সার্বজনীন,স্বয়ংক্রিয়,জায়গা
গুলোর	মধ্যে,সাথে,জন্য,উপর,প্রদর্শনী
গুল্তি	ছোড়া
গুল্ম	ছাঁটাই,এবং,লেজ,বেঁচে,পাতলা
গুল্মগুলি	তাদের,প্রায়শই,বড়
গুল্মটি	ঘনিষ্ঠভাবে,পাতলা
গুল্মযুক্ত	লেজ
গুস	পুরো,খেয়েছে,নামক
গুস্তাফ	কোসিনা,রাষ্ট্রের,মালারের
গুস্তাভ	এইচ,কিরশফের,ফ্লুবার্ট,আইফেলের,ফ্লাউবার্ট
গুহা	রয়েছে,ব্যবস্থাটি,অন্বেষণ,ছেড়ে,চিত্রকলা
গুহাগুলির	কথা,মধ্য
গুহাচিত্র	প্রাথমিক,আমাদেরকে,হল,দ্বারা
গুহাচিত্রটি	এ,ইউরোপে
গুহাচিত্রের	সঠিক,জন্য
গুহাটি	দেখতে,নক্ষত্র,অন্বেষণ,একটি
গুহাবাসী	প্রাণী,স্যালাম্যান্ডার
গুহার	দেয়ালে,ছাদ,দেয়াল,দেয়ালের,কাছে
গুহায়	লুকিয়ে,প্রবেশ,পৌঁছেছিলেন,নিয়ে,পাওয়া
গুহ্য	আধ্যাত্মিক,জাদুবিদ্যা
গুড়	দিয়ে,তৈরি,এবং,থাকে,যোগ
গুড়গুড়	শব্দ,বাতাসের
গুড়ি	মারা,এবং
গুড়ুম	শব্দ
গুড়ের	সন্দেশ,উঁকি
গুয়াকামোলের	প্রধান,সাথে
গুয়াডালুপ	হিডালগোর,পর্বত
গুয়াতেমালা	সিটিতে,এবং
গুয়াতেমালার	সীমানা,সামাজিক
গুয়ানিন	এবং,হল,সাইটোসিনের
গুয়ানিনের	সাথে
গূঢ়	শক্তি,অর্থ
গৃহ	নির্যাতন,সরঞ্জামের,জীবন,সরঞ্জামগুলির,সজ্জা
গৃহকর্মী	নির্যাতন,হিসেবে,নির্যাতনকে,চুক্তিতে,রাখা
গৃহকর্মীর	সাথে,মধ্যে,বাইরের
গৃহকর্মীরা	সবচেয়ে,তাদের,ভিসা
গৃহকর্মের	একটি,পাশাপাশি
গৃহপালিত	স্তন্যপায়ী,মোরগ,পোষা,প্রাণী,খামারের
গৃহবন্দি	করে,করা,হিসেবে
গৃহবন্দী	চর্চার,করে
গৃহযুদ্ধ	এবং,শুরু,সম্পর্কে,উত্তরের,বা
গৃহযুদ্ধে	জড়িয়ে,নিমজ্জিত,লড়াইরত,নিযুক্ত,লিপ্ত
গৃহযুদ্ধের	সময়,একটি,সবচেয়ে,সূচনা,ধ্বংসযজ্ঞের
গৃহশিক্ষক	খুঁজুন,বা,ছিলেন
গৃহশিক্ষকের	পদ
গৃহসজ্জার	সামগ্রী,চেয়ার,সামগ্রীগুলি,সরঞ্জাম,সামগ্রীর
গৃহস্থালি	এবং,আইটেম,আইটেমের,পরিষ্কার,ও
গৃহস্থালির	বর্জ্য,আইটেম,কাজ,শক্তিতে,কাজে
গৃহস্থালী	পণ্য,যন্ত্রপাতি,পণ্যের,পরিষ্কার,ও
গৃহস্থালীর	যন্ত্রপাতি,সামগ্রী,পণ্য,ব্যয়,রাসায়নিক
গৃহস্থের	জীবনের,সব
গৃহহারা	করা
গৃহহীন	ব্যক্তিকে,মহিলাদের,হয়ে,বোধ,মানুষের
গৃহহীনতা	মোকাবেলা,মোকাবেলায়,এবং
গৃহহীনতার	মূল,সমস্যার,সম্মুখীন,অন্তর্নিহিত,সমস্যাটিকে
গৃহহীনদের	সুবিধার,উপকার,সাহায্য,উদ্দেশ্যে,এম্পাওয়ারমেন্ট
গৃহিণী	ছিলেন
গৃহীত	হয়,হয়েছে,হয়েছিল,হতে,পদক্ষেপের
গৃহে	প্রস্তুতির,আশ্রয়,ঢুকবেন,স্থান,ফিরে
গৃহের	বিভিন্ন,ভেতরে,কাজের
গে	এজেন্ডা,লিবারেশন
গেঁথে	দেওয়া,দ্বীপের,গিয়ে,রয়েছে
গেঁয়ো	লোক,ভূত
গেইন	ট্যাক্স,অনুনাদিত,অপচয়,ডাবল
গেকো	লেআউট,ইঞ্জিন
গেছি	এবং,আমি
গেছে	যে,এবং,বলে,যা,তা
গেছেন	এবং,যা,এমন,পণ্যগুলির,তার
গেছে৷	এখন,অবশ্য
গেছো	মেয়ে,ব্যক্তিত্বের,সাপ
গেজ	রেলপথ,সেকশনটি,উভয়,রেলপথও,সেকশনটিকে
গেজে	রূপান্তরিত,চালু,রূপান্তর,উন্নিত
গেজেটে	জাতীয়,ছাপা,প্রকাশিত
